name,type,category_guess,visible_viewport,hide_viewport_flag,hide_render_flag,hide_select_flag,collection_count,collections,data_name,data_users,vertices,faces,parent,children_count
Circle.002,MESH,Unsorted / Needs Review,True,False,False,False,1,Audi e-tron GT quattro Black,Circle.006,1,4324,4282,Audi e-tron GT quattro Black,0
Wheel.001,MESH,Unsorted / Needs Review,True,False,False,False,1,Large Trash Can,Mesh.025,1,3143,3346,Large Trash Can,0
Lid Pins.001,MESH,Unsorted / Needs Review,True,False,False,False,1,Large Trash Can,Mesh.019,1,2780,2970,Large Trash Can,0
Plane.049,MESH,Unsorted / Needs Review,True,False,False,False,1,Audi e-tron GT quattro Black,Plane.031,1,3136,2847,Audi e-tron GT quattro Black,0
Mball.011,MESH,Unsorted / Needs Review,True,False,False,False,1,No Parking Sign Board,Mesh,1,1930,2419,Plane.023,0
Plane.003,MESH,Unsorted / Needs Review,True,False,False,False,1,Audi e-tron GT quattro Black,Plane.003,1,2285,2198,Audi e-tron GT quattro Black,0
SK_Head,MESH,Character / Duplicates,False,True,True,False,1,CHAR_SackDoll,Sphere,1,1986,2048,,0
SK_Mouth_Open,MESH,Character / Duplicates,False,True,True,False,1,CHAR_SackDoll,Sphere.004,1,1986,2048,,0
SK_Torso,MESH,Unsorted / Needs Review,False,True,True,False,1,CHAR_SackDoll,Sphere.001,1,1986,2048,,0
Plane.070,MESH,Unsorted / Needs Review,True,False,False,False,1,Audi e-tron GT quattro Black,Plane.073,1,2016,1920,Audi e-tron GT quattro Black,0
Mball.008,MESH,Unsorted / Needs Review,True,False,False,False,1,No Parking Sign Board,Mesh.001,1,1510,1893,177d920ddde57c74f8e1ef18863ab511,0
Plane.034,MESH,Unsorted / Needs Review,True,False,False,False,1,Audi e-tron GT quattro Black,Plane.056,1,1874,1752,Audi e-tron GT quattro Black,0
Plane.076,MESH,Unsorted / Needs Review,True,False,False,False,1,Audi e-tron GT quattro Black,Plane.077,1,1409,1319,Audi e-tron GT quattro Black,0
Plane.006,MESH,Unsorted / Needs Review,True,False,False,False,1,Audi e-tron GT quattro Black,Plane.006,1,1438,1310,Audi e-tron GT quattro Black,0
