name,type,category_guess,visible_viewport,hide_viewport_flag,hide_render_flag,hide_select_flag,collection_count,collections,data_name,data_users,vertices,faces,parent,children_count
HERO_HParking_Row0_Divider_0,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.206,1,8,6,,0
HERO_HParking_Row0_Divider_1,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.207,1,8,6,,0
HERO_HParking_Row0_Divider_2,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.208,1,8,6,,0
HERO_HParking_Row0_Divider_3,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.209,1,8,6,,0
HERO_HParking_Row0_Divider_4,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.210,1,8,6,,0
HERO_HParking_Row0_Divider_5,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.211,1,8,6,,0
HERO_HParking_Row0_Divider_6,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.212,1,8,6,,0
HERO_HParking_Row0_Divider_7,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.213,1,8,6,,0
HERO_HParking_Row1_Divider_0,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.214,1,8,6,,0
HERO_HParking_Row1_Divider_1,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.215,1,8,6,,0
