edge_a,edge_b,mid_x,mid_y,mid_z,length
125699,126268,-0.4788,0.128717,1.542491,0.0005
126268,126836,-0.4784,0.128948,1.54238,0.000456
126836,127406,-0.478108,0.12923,1.542239,0.00041
127406,127931,-0.477946,0.129539,1.542078,0.000371
127930,127931,-0.47809,0.136571,1.541677,0.013768
121630,121716,-0.482074,0.12953,1.541987,0.00037
69756,121630,-0.481871,0.128774,1.538597,0.006873
121716,122286,-0.481955,0.129217,1.542153,0.000391
122286,122855,-0.481703,0.128937,1.542306,0.000432
122855,123424,-0.481335,0.128709,1.542434,0.000479
123424,123993,-0.480876,0.128549,1.542529,0.000518
123993,124562,-0.480356,0.128466,1.542585,0.000543
124562,125131,-0.479813,0.128468,1.542597,0.000548
125131,125700,-0.479282,0.128554,1.542565,0.000533
125700,126269,-0.4788,0.128717,1.542491,0.0005
126269,126837,-0.4784,0.128948,1.54238,0.000456
126837,127407,-0.478108,0.12923,1.542239,0.00041
127407,127932,-0.477946,0.129539,1.542078,0.000371
127932,127933,-0.477669,0.128765,1.538662,0.006932
95707,127933,-0.477113,0.127185,1.531947,0.006922
163445,163446,-0.487232,0.139854,1.56023,0.007972
163469,163470,-0.498568,0.334821,1.560379,0.012117
163451,163452,-0.483768,0.16441,1.540747,0.015129
163440,163441,-0.478346,0.131424,1.537403,0.006191
163447,163448,-0.483798,0.132597,1.547655,0.007164
163446,163447,-0.485496,0.135901,1.553903,0.007375
163452,163453,-0.485447,0.179997,1.54056,0.017365
163444,163445,-0.486617,0.138862,1.560956,0.008665
121630,163449,-0.482198,0.129992,1.542554,0.00145
121630,163450,-0.482287,0.136602,1.541574,0.013842
163448,163449,-0.482607,0.130647,1.543889,0.001658
163450,163451,-0.481678,0.150467,1.541076,0.014003
163454,163455,-0.488283,0.196105,1.540737,0.008136
163442,163443,-0.482092,0.135385,1.549513,0.006803
163455,163456,-0.48478,0.200554,1.541182,0.013294
163460,163461,-0.491328,0.248006,1.543638,0.021568
163462,163463,-0.49164,0.262057,1.544356,0.023632
163458,163459,-0.488427,0.219719,1.542104,0.025266
163465,163466,-0.490641,0.28363,1.546944,0.011116
163468,163469,-0.499017,0.323189,1.55565,0.013039
163453,163454,-0.484793,0.190948,1.540498,0.004837
163185,163186,-0.482097,0.135327,1.549518,0.006805
163181,163182,-0.485497,0.135853,1.553915,0.007407
163443,163444,-0.484215,0.135976,1.555526,0.006273
163470,163471,-0.49806,0.345391,1.5656,0.011495
163187,163188,-0.47835,0.131324,1.5374,0.006207
163183,163184,-0.486437,0.138832,1.560825,0.008639
163459,163460,-0.48968,0.236893,1.543171,0.02687
163466,163467,-0.495999,0.296242,1.548389,0.016885
163180,163181,-0.4838,0.132549,1.547671,0.007126
163179,163180,-0.482607,0.130733,1.543889,0.001619
163441,163442,-0.479919,0.13311,1.543451,0.006896
163439,163440,-0.477228,0.130492,1.531359,0.006256
163467,163468,-0.49874,0.31062,1.551734,0.013341
163184,163185,-0.484223,0.135853,1.555527,0.006282
163188,163189,-0.477237,0.130299,1.531365,0.006255
163186,163187,-0.479924,0.133038,1.543455,0.006906
163182,163183,-0.487046,0.139914,1.560105,0.007762
163457,163458,-0.478383,0.209655,1.54157,0.005601
163456,163457,-0.478499,0.204538,1.541354,0.004688
163463,163464,-0.502503,0.268711,1.544937,0.004837
163464,163465,-0.494998,0.275007,1.546327,0.016797
163461,163462,-0.491339,0.253488,1.543856,0.023053
178683,178684,-0.483268,0.140533,1.560615,0.008914
178707,178708,-0.494768,0.333518,1.560842,0.011804
178689,178690,-0.479602,0.16479,1.540717,0.015248
178425,178679,-0.482531,0.131546,1.537248,0.006177
178685,198477,-0.479618,0.132707,1.547835,0.00712
178684,178685,-0.481317,0.136051,1.55408,0.007455
178690,178691,-0.481295,0.180407,1.540573,0.017323
178682,178683,-0.486839,0.139453,1.561198,0.010563
178687,178688,-0.478095,0.136599,1.541699,0.013697
178686,178687,-0.478011,0.130117,1.542693,0.001588
178686,198477,-0.47843,0.13082,1.544071,0.001642
178688,178689,-0.477495,0.150593,1.541222,0.014401
178692,178693,-0.485187,0.195982,1.540711,0.006139
178680,178681,-0.486251,0.135527,1.54927,0.006825
178693,178694,-0.481935,0.197653,1.541072,0.013001
178698,178699,-0.487987,0.248904,1.543897,0.023436
178700,178701,-0.489119,0.262148,1.545022,0.021336
178696,178697,-0.484813,0.221457,1.541665,0.025732
178703,178704,-0.487959,0.282714,1.547968,0.011347
178706,178707,-0.495076,0.322315,1.556092,0.012563
