name,base_name,type,category_guess,visible_viewport,hide_viewport,hide_render,hide_select,collection_count,collections,data_name,data_users,vertices,faces,parent,children_count
HERO_CarWarmSideGlint,HERO_CarWarmSideGlint,LIGHT,Lighting / Reflections,True,False,False,False,1,LIGHTS_AND_REFLECTION_HELPERS,HERO_CarWarmSideGlint_Data,1,0,0,,0
HERO_Curb_VerticalFace,HERO_Curb_VerticalFace,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.196,1,8,6,,0
HERO_CyanUnderglow_Area,HERO_CyanUnderglow_Area,LIGHT,Lighting / Reflections,True,False,False,False,1,LIGHTS_AND_REFLECTION_HELPERS,HERO_CyanUnderglow_Area_Data,1,0,0,,0
HERO_DoubleDoor_CenterMeet_1,HERO_DoubleDoor_CenterMeet_1,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.175,1,8,6,,0
HERO_DoubleDoor_CenterMeet_2,HERO_DoubleDoor_CenterMeet_2,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.183,1,8,6,,0
HERO_DoubleDoor_LeftSide_1,HERO_DoubleDoor_LeftSide_1,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.174,1,8,6,,0
HERO_DoubleDoor_LeftSide_2,HERO_DoubleDoor_LeftSide_2,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.182,1,8,6,,0
HERO_DoubleDoor_RightSide_1,HERO_DoubleDoor_RightSide_1,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.176,1,8,6,,0
HERO_DoubleDoor_RightSide_2,HERO_DoubleDoor_RightSide_2,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.184,1,8,6,,0
HERO_DoubleDoor_TopFrame_1,HERO_DoubleDoor_TopFrame_1,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.177,1,8,6,,0
HERO_DoubleDoor_TopFrame_2,HERO_DoubleDoor_TopFrame_2,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.185,1,8,6,,0
HERO_GlassStorefront_Bay_0,HERO_GlassStorefront_Bay_0,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.112,1,8,6,,0
HERO_GlassStorefront_Bay_1,HERO_GlassStorefront_Bay_1,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.170,1,8,6,,0
HERO_GlassStorefront_Bay_2,HERO_GlassStorefront_Bay_2,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.178,1,8,6,,0
HERO_GlassStorefront_Bay_3,HERO_GlassStorefront_Bay_3,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.186,1,8,6,,0
HERO_HParking_CenterSpine,HERO_HParking_CenterSpine,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.222,1,8,6,,0
HERO_HParking_Row0_Divider_0,HERO_HParking_Row0_Divider_0,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.206,1,8,6,,0
HERO_HParking_Row0_Divider_1,HERO_HParking_Row0_Divider_1,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.207,1,8,6,,0
HERO_HParking_Row0_Divider_2,HERO_HParking_Row0_Divider_2,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.208,1,8,6,,0
HERO_HParking_Row0_Divider_3,HERO_HParking_Row0_Divider_3,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.209,1,8,6,,0
HERO_HParking_Row0_Divider_4,HERO_HParking_Row0_Divider_4,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.210,1,8,6,,0
HERO_HParking_Row0_Divider_5,HERO_HParking_Row0_Divider_5,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.211,1,8,6,,0
HERO_HParking_Row0_Divider_6,HERO_HParking_Row0_Divider_6,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.212,1,8,6,,0
HERO_HParking_Row0_Divider_7,HERO_HParking_Row0_Divider_7,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.213,1,8,6,,0
