object,category,origin_world,bounds_center,distance,dimensions_world,parent,data_users
Plane.016,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.039333462715148926, 2.1841347217559814, 0.32795196771621704]",3.3797391482342727,"[2.289762258529663, 1.7054287195205688, 0.23452819883823395]",Audi e-tron GT quattro Black,1
Plane.017,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.1349743902683258, 2.000028610229492, 0.43215495347976685]",3.5973088244784197,"[2.1138908863067627, 1.6206778287887573, 0.388741135597229]",Audi e-tron GT quattro Black,1
Plane.018,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.14697706699371338, 1.9769237041473389, 0.4705582857131958]",3.627939124114341,"[1.5087335109710693, 1.2569698095321655, 0.4447155296802521]",Audi e-tron GT quattro Black,1
Plane.019,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.1066765785217285, 8.240108489990234, 0.2746105194091797]",3.471470990997025,"[3.162104606628418, 2.2928056716918945, 0.11300183832645416]",Audi e-tron GT quattro Black,1
Plane.020,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-1.2821890115737915, 4.728025436401367, 1.7989555597305298]",1.8663785221424176,"[2.4593379497528076, 1.4981353282928467, 0.5178143978118896]",Audi e-tron GT quattro Black,1
Plane.021,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.2170803546905518, 8.452632904052734, 0.5371595621109009]",3.738870448732949,"[2.30949068069458, 1.4392189979553223, 0.26674628257751465]",Audi e-tron GT quattro Black,1
Plane.026,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.2911200523376465, 8.595157623291016, 0.51218581199646]",3.894518298373405,"[1.4010624885559082, 0.882929801940918, 0.2007920742034912]",Audi e-tron GT quattro Black,1
Plane.028,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.276736259460449, 8.567468643188477, 0.48559343814849854]",3.860154108024888,"[1.3533422946929932, 0.8729619979858398, 0.12280035018920898]",Audi e-tron GT quattro Black,1
Plane.030,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.266061544418335, 8.546920776367188, 0.5108346343040466]",3.8404597994144734,"[0.8339962959289551, 0.6042356491088867, 0.1260489523410797]",Audi e-tron GT quattro Black,1
Plane.031,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.3264951705932617, 8.663252830505371, 0.6123971939086914]",3.9847663275833343,"[0.10446476936340332, 0.09446144104003906, 0.06570190191268921]",Audi e-tron GT quattro Black,1
Plane.032,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.066038131713867, 8.161881446838379, 0.6334065198898315]",3.431406611288863,"[2.7754459381103516, 1.6030654907226562, 0.4289708733558655]",Audi e-tron GT quattro Black,1
Plane.034,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-1.8806430101394653, 5.880030632019043, 1.5353093147277832]",1.7317239114432657,"[3.2294561862945557, 1.9065146446228027, 0.3278564214706421]",Audi e-tron GT quattro Black,1
Plane.035,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.13466250896453857, 2.000629186630249, 1.1843640804290771]",3.761882172359202,"[2.5241315364837646, 1.6084742546081543, 0.15531957149505615]",Audi e-tron GT quattro Black,1
Plane.036,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.198183059692383, 8.416255950927734, 0.5598854422569275]",3.7016769547679464,"[2.295025110244751, 1.3753242492675781, 0.40278950333595276]",Audi e-tron GT quattro Black,1
Plane.037,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.11795127391815186, 2.0327975749969482, 1.2610478401184082]",3.752562728042406,"[2.8105108737945557, 1.928159236907959, 0.33247244358062744]",Audi e-tron GT quattro Black,1
Plane.038,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.06817364692688, 8.16599178314209, 1.0866999626159668]",3.5476087575832125,"[2.90455961227417, 1.9764575958251953, 0.2798655033111572]",Audi e-tron GT quattro Black,1
Plane.039,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.239504098892212, 8.495798110961914, 0.51218581199646]",3.783552867535416,"[1.2907133102416992, 0.6705112457275391, 0.2007920742034912]",Audi e-tron GT quattro Black,1
Plane.040,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-1.8298370838165283, 5.782231330871582, 1.5831626653671265]",1.727332058025457,"[3.0792746543884277, 1.6624021530151367, 0.21271657943725586]",Audi e-tron GT quattro Black,1
Plane.041,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.213942766189575, 8.446593284606934, 1.1074275970458984]",3.8557345251368798,"[1.2004823684692383, 0.7132968902587891, 0.09801352024078369]",Audi e-tron GT quattro Black,1
Plane.042,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.25887396931648254, 1.7615258693695068, 0.6977169513702393]",3.9028931117447425,"[2.110919952392578, 1.2822104692459106, 0.18897849321365356]",Audi e-tron GT quattro Black,1
Plane.043,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.03994646668434143, 2.1829545497894287, 1.5709513425827026]",3.713747618939931,"[1.4487433433532715, 0.8572882413864136, 0.02252364158630371]",Audi e-tron GT quattro Black,1
Plane.045,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-2.2475662231445312, 6.586347579956055, 1.4836091995239258]",2.1797909865885203,"[2.620227098464966, 1.828115463256836, 0.10255312919616699]",Audi e-tron GT quattro Black,1
Plane.047,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.0835261344909668, 2.1078481674194336, 1.253345012664795]",3.672359645594697,"[2.8622589111328125, 2.0398502349853516, 0.3475102186203003]",Audi e-tron GT quattro Black,1
Plane.048,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.09322559833526611, 2.0803937911987305, 1.2449064254760742]",3.696623329760488,"[2.7654900550842285, 1.8832271099090576, 0.3306330442428589]",Audi e-tron GT quattro Black,1
Plane.049,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.07115572690963745, 2.122877597808838, 1.2775719165802002]",3.662846149842965,"[2.7651138305664062, 2.0177478790283203, 0.22400033473968506]",Audi e-tron GT quattro Black,1
Plane.050,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.09071111679077148, 2.0852341651916504, 1.2895187139511108]",3.7067707963137426,"[2.756282329559326, 1.9423937797546387, 0.2590928077697754]",Audi e-tron GT quattro Black,1
Plane.051,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.11058765649795532, 2.0469725131988525, 1.2316746711730957]",3.72771410472371,"[2.5116138458251953, 1.6761244535446167, 0.12908244132995605]",Audi e-tron GT quattro Black,1
Plane.052,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.13184982538223267, 2.0060434341430664, 1.2043808698654175]",3.7624513698996402,"[2.32789945602417, 1.4403274059295654, 0.10778331756591797]",Audi e-tron GT quattro Black,1
Plane.053,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.14235657453536987, 1.9858181476593018, 1.2044882774353027]",3.7840848809948477,"[2.3092293739318848, 1.3960871696472168, 0.10799825191497803]",Audi e-tron GT quattro Black,1
Plane.054,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.010657906532287598, 2.2393341064453125, 1.1365530490875244]",3.4917371489361484,"[2.5368432998657227, 1.4595890045166016, 0.0720745325088501]",Audi e-tron GT quattro Black,1
Plane.055,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[0.12460076808929443, 2.0199975967407227, 1.2007572650909424]",3.746394363131815,"[2.1194143295288086, 1.202733039855957, 0.09489309787750244]",Audi e-tron GT quattro Black,1
Plane.056,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-2.9966793060302734, 8.028367042541504, 1.0908623933792114]",3.40164128266177,"[3.036252975463867, 2.2327017784118652, 0.27154070138931274]",Audi e-tron GT quattro Black,1
Plane.057,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-2.959299087524414, 7.956412315368652, 1.1140828132629395]",3.3326309755575867,"[2.6014785766601562, 1.453258991241455, 0.12843239307403564]",Audi e-tron GT quattro Black,1
Plane.058,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-2.9008593559265137, 7.843917369842529, 1.1169354915618896]",3.214425005241038,"[2.7607669830322266, 1.731490135192871, 0.19190633296966553]",Audi e-tron GT quattro Black,1
Plane.059,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-2.9641273021698, 7.965705871582031, 1.0534172058105469]",3.322775109284389,"[2.511295795440674, 1.414055347442627, 0.086678147315979]",Audi e-tron GT quattro Black,1
Plane.060,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.0079805850982666, 8.050122261047363, 1.1447594165802002]",3.442416957388283,"[2.884162425994873, 2.0431599617004395, 0.14152848720550537]",Audi e-tron GT quattro Black,1
Plane.061,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.0004048347473145, 8.035538673400879, 1.0534181594848633]",3.3975013057265535,"[2.417875289916992, 1.265082836151123, 0.06344330310821533]",Audi e-tron GT quattro Black,1
Plane.062,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.1368954181671143, 8.298279762268066, 1.0827463865280151]",3.688635845143692,"[2.116791248321533, 1.2978711128234863, 0.09284043312072754]",Audi e-tron GT quattro Black,1
Plane.063,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.089418888092041, 8.206888198852539, 1.081903338432312]",3.5900582300314405,"[2.2221755981445312, 1.4901065826416016, 0.10072970390319824]",Audi e-tron GT quattro Black,1
Plane.064,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-2.924767017364502, 7.8899383544921875, 1.1317909955978394]",3.2682184571271815,"[2.703603982925415, 1.7305855751037598, 0.12981700897216797]",Audi e-tron GT quattro Black,1
Plane.065,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-2.9645702838897705, 7.966558456420898, 1.128962516784668]",3.3483966022081852,"[2.5742039680480957, 1.557535171508789, 0.12015068531036377]",Audi e-tron GT quattro Black,1
Plane.066,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.0769104957580566, 8.182809829711914, 1.0111950635910034]",3.5433726727128163,"[2.3606128692626953, 1.4661169052124023, 0.09342831373214722]",Audi e-tron GT quattro Black,1
Plane.067,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.0243539810180664, 8.081640243530273, 1.0848352909088135]",3.456660657081665,"[2.819869041442871, 1.9997820854187012, 0.12393879890441895]",Audi e-tron GT quattro Black,1
Plane.068,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.0534403324127197, 8.137630462646484, 1.016822338104248]",3.496240572270546,"[2.4224400520324707, 1.5829858779907227, 0.10226398706436157]",Audi e-tron GT quattro Black,1
Plane.069,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-2.982051372528076, 8.00020980834961, 1.1353111267089844]",3.386244479963803,"[2.525618314743042, 1.6477704048156738, 0.08417713642120361]",Audi e-tron GT quattro Black,1
Plane.070,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.0354723930358887, 8.103044509887695, 1.0185253620147705]",3.4594700890681636,"[1.8629124164581299, 1.0254278182983398, 0.06820809841156006]",Audi e-tron GT quattro Black,1
Plane.071,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.054666042327881, 8.139989852905273, 1.0185260772705078]",3.4992800551143945,"[1.8122081756591797, 0.9458417892456055, 0.04999810457229614]",Audi e-tron GT quattro Black,1
Plane.072,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-3.0192930698394775, 8.071898460388184, 1.0008732080459595]",3.4207371601024623,"[2.933166027069092, 2.0789566040039062, 0.0699312686920166]",Audi e-tron GT quattro Black,1
Plane.076,OTHER,"[-1.5113588571548462, 5.169170379638672, 0.0]","[-2.623746156692505, 7.310482501983643, 0.9423803091049194]",2.5905025904211225,"[3.99326491355896, 3.781497001647949, 1.2000353336334229]",Audi e-tron GT quattro Black,1
Ribbing.001,OTHER,"[0.0, 23.24567222595215, 0.0]","[0.0, 23.180164337158203, 0.8518112897872925]",0.8543264972263223,"[1.1228996515274048, 1.1401481628417969, 1.609645128250122]",Large Trash Can,1
Stop sign,OTHER,"[-9.464717864990234, 3.741886615753174, 0.032826006412506104]","[-9.46471881866455, 3.6054916381835938, 2.2979042530059814]",2.2691812483386933,"[1.500131607055664, 0.19677448272705078, 4.53015661239624]",,1
Traffic Cone (Photoscanned),OTHER,"[0.0012167692184448242, 18.62605857849121, 0.010688450187444687]","[-0.0034990012645721436, 18.6322078704834, 0.41155797243118286]",0.4009444159398022,"[0.4569580852985382, 0.46683502197265625, 0.8007172346115112]",,1
Utility Box (Photoscanned),OTHER,"[-12.197587013244629, 23.763023376464844, 0.06434579938650131]","[-12.197149276733398, 23.745193481445312, 0.8719311952590942]",0.807782333748343,"[1.209122657775879, 0.5349254608154297, 1.6152715682983398]",,1
