name,type,category,data_name,data_users,collections,parent,parent_type,children,hide_viewport,hide_render,visible,location,rotation_euler,scale,matrix_world_translation,matrix_parent_inverse_translation,modifier_count,constraint_count,animation_action,driver_count,nla_track_count,bounds_min,bounds_max,bounds_center,dimensions_world,origin_to_bounds_center,origin_detached_candidate
CAM_StorefrontReflection_R,CAMERA,OTHER,CAM_StorefrontReflection_Data,1,CAMERAS,,OBJECT,,False,False,True,"[4.9823899269104, -9.923745155334473, 3.853456497192383]","[1.5214577913284302, 1.7176526867501707e-08, 0.5023025274276733]","[1.0, 1.0, 1.0]","[4.9823899269104, -9.923745155334473, 3.853456497192383]","[0.0, 0.0, 0.0]",0,0,CAM_StorefrontReflection_RAction,0,0,,,,,,False
CAM_Target,EMPTY,OTHER,,0,CAMERAS,,OBJECT,,False,False,True,"[0.0, 0.0, 1.4500000476837158]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 1.4500000476837158]","[0.0, 0.0, 0.0]",0,0,CAM_TargetAction,0,0,,,,,,False
CAM_wholescene,CAMERA,OTHER,CAM_WholeScene_Data,1,CAMERAS,,OBJECT,,False,False,True,"[-1.6582167148590088, -30.475170135498047, 0.408840537071228]","[1.6894863843917847, -4.516235549090197e-06, 0.013961643911898136]","[1.0, 1.0, 1.0]","[-1.6582167148590088, -30.475170135498047, 0.408840537071228]","[0.0, 0.0, 0.0]",0,0,CAM_wholesceneAction,0,0,,,,,,False
Can.001,MESH,OTHER,Mesh.014,1,PROPS,Large Trash Can,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 23.24567222595215, 0.0]","[-0.0, 0.0, -0.0]",0,0,Can.001Action,0,0,"[-0.566798985004425, 22.604984283447266, 0.035650741308927536]","[0.5668279528617859, 23.789630889892578, 1.6782286167144775]","[1.4483928680419922e-05, 23.197307586669922, 0.8569396734237671]","[1.133626937866211, 1.1846466064453125, 1.642577886581421]",0.8583034157781754,True
Cargo pants,MESH,CLOTHING,Cargo pants,1,PANTS,,OBJECT,,False,False,True,"[-0.0027921944856643677, 0.03338572382926941, 0.5093981027603149]","[0.0, 0.0, 0.0]","[2.864536762237549, 3.3314666748046875, 0.8818214535713196]","[-0.0027921944856643677, 0.03338572382926941, 0.5093981027603149]","[-0.0, 0.0, -0.0]",1,0,Cargo pantsAction,0,0,"[-0.4179287552833557, -0.2528274357318878, 0.5096121430397034]","[0.44308167695999146, 0.3020385205745697, 1.2564749717712402]","[0.012576460838317871, 0.024605542421340942, 0.8830435276031494]","[0.8610104322433472, 0.5548659563064575, 0.7468628287315369]",0.37406441775714805,False
Cast iron sewer hatch,EMPTY,OTHER,,0,PROPS,,OBJECT,Plane.029,False,False,True,"[2.427868127822876, -1.9205427169799805, 0.0]","[0.0, 0.0, 0.0]","[1.934547781944275, 1.934547781944275, 1.0]","[2.427868127822876, -1.9205427169799805, 0.0]","[0.0, 0.0, 0.0]",0,0,Cast iron sewer hatchAction,0,0,,,,,,False
Circle,MESH,OTHER,Circle.001,1,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[-1.5113588571548462, 5.169170379638672, 0.0]","[-0.0, 0.0, -0.0]",1,0,CircleAction,0,0,"[-3.348525285720825, 8.654436111450195, 0.5801336169242859]","[-3.3155884742736816, 8.693769454956055, 0.5994317531585693]","[-3.332056999206543, 8.674102783203125, 0.58978271484375]","[0.032936811447143555, 0.039333343505859375, 0.019298136234283447]",3.993411688287992,True
Circle.001,MESH,OTHER,Circle.002,1,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[-1.5113588571548462, 5.169170379638672, 0.0]","[-0.0, 0.0, -0.0]",2,0,Circle.001Action,0,0,"[-3.502126693725586, 8.550106048583984, 0.8979215621948242]","[-3.1490120887756348, 8.77428150177002, 1.015081524848938]","[-3.3255693912506104, 8.662193298339844, 0.9565015435218811]","[0.35311460494995117, 0.22417545318603516, 0.11715996265411377]",4.050612811244006,True
Circle.002,MESH,OTHER,Circle.006,1,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[-1.5113588571548462, 5.169170379638672, 0.0]","[-0.0, 0.0, -0.0]",1,0,Circle.002Action,0,0,"[-3.2827253341674805, 6.0075154304504395, 1.3860139846801758]","[-1.2228314876556396, 7.3665056228637695, 1.5225121974945068]","[-2.2527785301208496, 6.687010765075684, 1.4542630910873413]","[2.059893846511841, 1.35899019241333, 0.13649821281433105]",2.228996098014801,True
Circle.003,MESH,OTHER,Circle.007,1,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[-1.5113588571548462, 5.169170379638672, 0.0]","[-0.0, 0.0, -0.0]",1,0,Circle.003Action,0,0,"[-4.068943023681641, 2.155668258666992, 0.24509958922863007]","[1.0140721797943115, 8.244565963745117, 0.9188945293426514]","[-1.5274354219436646, 5.200117111206055, 0.5819970369338989]","[5.083015441894531, 6.088897705078125, 0.6737949252128601]",0.5830409215406797,False
Circle.006,MESH,OTHER,Circle.014,1,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[-1.5113588571548462, 5.169170379638672, 0.0]","[-0.0, 0.0, -0.0]",2,0,Circle.006Action,0,0,"[0.10509109497070312, 1.674088954925537, 1.3953298330307007]","[0.4038459062576294, 1.8791627883911133, 1.473908543586731]","[0.25446850061416626, 1.7766258716583252, 1.4346191883087158]","[0.29875481128692627, 0.20507383346557617, 0.07857871055603027]",4.084805625390626,True
Circle.007,MESH,OTHER,Circle.013,1,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[-1.5113588571548462, 5.169170379638672, 0.0]","[-0.0, 0.0, -0.0]",1,0,Circle.007Action,0,0,"[-3.512756824493408, 8.400813102722168, 0.8959871530532837]","[-3.0594546794891357, 8.771641731262207, 1.0344074964523315]","[-3.2861056327819824, 8.586227416992188, 0.9651973247528076]","[0.45330214500427246, 0.37082862854003906, 0.13842034339904785]",3.9695857587291528,True
Circle.009,MESH,OTHER,Circle.016,1,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[-1.5113588571548462, 5.169170379638672, 0.0]","[-0.0, 0.0, -0.0]",1,0,Circle.009Action,0,0,"[-4.213432788848877, 1.974029779434204, 0.08551964908838272]","[1.1593818664550781, 8.424627304077148, 1.0806671380996704]","[-1.5270254611968994, 5.199328422546387, 0.5830934047698975]","[5.372814655303955, 6.450597763061523, 0.9951474666595459]",0.5840829285707789,False
Circle.011,MESH,OTHER,Circle.018,1,SAME_NAME_Circle,Audi e-tron GT quattro Black,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[-1.5113588571548462, 5.169170379638672, 0.0]","[-0.0, 0.0, -0.0]",1,0,Circle.011Action,0,0,"[-3.9797325134277344, 2.389324903488159, 0.5618757009506226]","[0.923437237739563, 8.013651847839355, 0.5985564589500427]","[-1.5281476974487305, 5.201488494873047, 0.5802160501480103]","[4.903169631958008, 5.624326705932617, 0.036680757999420166]",0.5813578891720633,False
Cube,MESH,OTHER,Cube,1,04_ENVIRONMENT_STOREFRONTS_PARKING,,OBJECT,,False,True,True,"[-59.633445739746094, 63.60997772216797, 50.14567565917969]","[0.0, 0.0, 0.0]","[153.66673278808594, 94.41097259521484, 7.21381950378418]","[-59.633445739746094, 63.60997772216797, 50.14567565917969]","[0.0, 0.0, 0.0]",0,0,,0,0,"[-213.3001708984375, -30.800994873046875, 42.931854248046875]","[94.03328704833984, 158.0209503173828, 57.3594970703125]","[-59.63344192504883, 63.60997772216797, 50.14567565917969]","[307.3334655761719, 188.8219451904297, 14.427642822265625]",3.814697265625e-06,False
Cylinder.001,MESH,OTHER,Cylinder.002,1,PROPS,Plane.023,OBJECT,,False,False,True,"[0.0, 0.0, 1.0054059028625488]","[0.0, -0.0, 0.0]","[1.0, 1.0, 1.0]","[-10.828648567199707, 19.20541000366211, 1.0655524730682373]","[5.587935669737476e-10, -1.8626451769865326e-10, -0.005405902862548828]",3,0,Cylinder.001Action,0,0,"[-10.852046966552734, 19.1820011138916, 0.07621639966964722]","[-10.80525016784668, 19.22881507873535, 2.0655157566070557]","[-10.828648567199707, 19.205408096313477, 1.0708661079406738]","[0.04679679870605469, 0.04681396484375, 1.9892992973327637]",0.005313635209412563,False
Empty,EMPTY,OTHER,,0,06_LIGHTING_REFLECTIONS,,OBJECT,,False,False,True,"[-117.52604675292969, 250.6327362060547, 4.245935440063477]","[0.0, 0.0, -0.11537054181098938]","[1.0, 1.0, 1.0]","[-117.52604675292969, 250.6327362060547, 4.245935440063477]","[0.0, 0.0, 0.0]",0,0,EmptyAction,0,0,,,,,,False
F2,MESH,CHARACTER,Meshy_Left_Standing_Candidate.006,1,Main Model,,OBJECT,,False,False,True,"[2.3136987686157227, -0.2618328332901001, 0.48427021503448486]","[1.570796251296997, -0.0, 0.0]","[3.634430170059204, 3.634430170059204, 3.634430170059204]","[2.3136987686157227, -0.2618328332901001, 0.48427021503448486]","[0.0, 0.0, 0.0]",0,0,F2Action,0,0,"[-1.1231653690338135, -0.4151705801486969, 0.39730575680732727]","[1.1144416332244873, 0.31626853346824646, 2.4899609088897705]","[-0.004361867904663086, -0.04945102334022522, 1.4436333179473877]","[2.237607002258301, 0.7314391136169434, 2.0926551818847656]",2.51771494950104,True
FINAL_ORBIT_RIG,EMPTY,OTHER,,0,07_CAMERAS,,OBJECT,,False,False,True,"[-0.6757546663284302, 0.3175894320011139, -0.061356570571660995]","[0.0, 0.0, 0.11128638684749603]","[1.0, 1.0, 1.0]","[-0.6757546663284302, 0.3175894320011139, -0.061356570571660995]","[0.0, 0.0, 0.0]",0,0,FINAL_ORBIT_RIGAction,0,0,,,,,,False
FX_ReflectCard_Green_01,MESH,OTHER,FX_ReflectCard_Green_01_Mesh.001,1,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,,False,False,True,"[5.319022178649902, -0.9369463324546814, 2.465970516204834]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]","[5.319022178649902, -0.9369463324546814, 2.465970516204834]","[0.0, 0.0, 0.0]",0,0,FX_ReflectCard_Green_01Action,0,0,"[5.209022045135498, -1.0469462871551514, 2.465970516204834]","[5.429022312164307, -0.8269463181495667, 2.465970516204834]","[5.319022178649902, -0.9369462728500366, 2.465970516204834]","[0.2200002670288086, 0.21999996900558472, 0.0]",5.960464477539063e-08,False
FX_ReflectCard_Green_02,MESH,OTHER,FX_ReflectCard_Green_02_Mesh.001,1,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,,False,False,True,"[4.091555595397949, -0.9569463133811951, 1.9510010480880737]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]","[4.091555595397949, -0.9569463133811951, 1.9510010480880737]","[0.0, 0.0, 0.0]",0,0,FX_ReflectCard_Green_02Action,0,0,"[4.021555423736572, -1.0269463062286377, 1.9510010480880737]","[4.161555767059326, -0.8869463205337524, 1.9510010480880737]","[4.091555595397949, -0.9569463133811951, 1.9510010480880737]","[0.1400003433227539, 0.13999998569488525, 0.0]",0.0,False
FX_ReflectCard_Red_01,MESH,OTHER,FX_ReflectCard_Red_01_Mesh.001,1,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,,False,False,True,"[-5.728177547454834, -0.9369463324546814, 2.5055835247039795]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]","[-5.728177547454834, -0.9369463324546814, 2.5055835247039795]","[0.0, 0.0, 0.0]",0,0,FX_ReflectCard_Red_01Action,0,0,"[-5.838177680969238, -1.0469462871551514, 2.5055835247039795]","[-5.61817741394043, -0.8269463181495667, 2.5055835247039795]","[-5.728177547454834, -0.9369462728500366, 2.5055835247039795]","[0.2200002670288086, 0.21999996900558472, 0.0]",5.960464477539063e-08,False
FX_ReflectCard_Red_02,MESH,OTHER,FX_ReflectCard_Red_02_Mesh.001,1,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,,False,False,True,"[-4.500710964202881, -0.9569463133811951, 1.9906140565872192]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]","[-4.500710964202881, -0.9569463133811951, 1.9906140565872192]","[0.0, 0.0, 0.0]",0,0,FX_ReflectCard_Red_02Action,0,0,"[-4.570711135864258, -1.0269463062286377, 1.9906140565872192]","[-4.430710792541504, -0.8869463205337524, 1.9906140565872192]","[-4.500710964202881, -0.9569463133811951, 1.9906140565872192]","[0.1400003433227539, 0.13999998569488525, 0.0]",0.0,False
FX_ReflectCard_Yellow_01,MESH,OTHER,FX_ReflectCard_Yellow_01_Mesh.001,1,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,,False,False,True,"[0.0, -0.9369463324546814, 2.4263575077056885]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, -0.9369463324546814, 2.4263575077056885]","[0.0, 0.0, 0.0]",0,0,FX_ReflectCard_Yellow_01Action,0,0,"[-0.10000000149011612, -1.0369462966918945, 2.4263575077056885]","[0.10000000149011612, -0.8369463086128235, 2.4263575077056885]","[0.0, -0.9369462728500366, 2.4263575077056885]","[0.20000000298023224, 0.19999998807907104, 0.0]",5.960464477539063e-08,False
FX_ReflectCard_Yellow_02,MESH,OTHER,FX_ReflectCard_Yellow_02_Mesh.001,1,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,,False,False,True,"[1.2274665832519531, -0.9569463133811951, 1.8717749118804932]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]","[1.2274665832519531, -0.9569463133811951, 1.8717749118804932]","[0.0, 0.0, 0.0]",0,0,FX_ReflectCard_Yellow_02Action,0,0,"[1.1624665260314941, -1.0219463109970093, 1.8717749118804932]","[1.292466640472412, -0.8919463157653809, 1.8717749118804932]","[1.2274665832519531, -0.9569463133811951, 1.8717749118804932]","[0.13000011444091797, 0.12999999523162842, 0.0]",0.0,False
FX_TrafficLight_Green,LIGHT,OTHER,FX_TrafficLight_Green_Data,1,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,,False,False,True,"[5.728177547454834, -4.716946125030518, 2.4263575077056885]","[1.5484920740127563, 7.786525912933939e-08, 0.9381227493286133]","[1.0, 1.0, 1.0]","[5.728177547454834, -4.716946125030518, 2.4263575077056885]","[0.0, 0.0, 0.0]",0,0,FX_TrafficLight_GreenAction,0,0,,,,,,False
FX_TrafficLight_Red,LIGHT,OTHER,FX_TrafficLight_Red_Data,1,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,,False,False,True,"[-5.728177547454834, -4.716946125030518, 2.4263575077056885]","[1.5484920740127563, -7.786525912933939e-08, -0.9381227493286133]","[1.0, 1.0, 1.0]","[-5.728177547454834, -4.716946125030518, 2.4263575077056885]","[0.0, 0.0, 0.0]",0,0,FX_TrafficLight_RedAction,0,0,,,,,,False
FX_TrafficLight_Yellow,LIGHT,OTHER,FX_TrafficLight_Yellow_Data,1,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,,False,False,True,"[0.0, -4.966946125030518, 2.5055835247039795]","[1.517436146736145, -0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, -4.966946125030518, 2.5055835247039795]","[0.0, 0.0, 0.0]",0,0,FX_TrafficLight_YellowAction,0,0,,,,,,False
Handlebars.001,MESH,CHARACTER,Mesh.015,1,PROPS,Large Trash Can,OBJECT,,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 23.24567222595215, 0.0]","[-0.0, 0.0, -0.0]",0,0,Handlebars.001Action,0,0,"[-0.3443523943424225, 23.715375900268555, 1.5129683017730713]","[0.34446802735328674, 23.91191291809082, 1.7240326404571533]","[5.7816505432128906e-05, 23.813644409179688, 1.6185004711151123]","[0.6888204216957092, 0.19653701782226562, 0.21106433868408203]",1.7152656358783003,True
