name,base_name,type,visible,hide_viewport,hide_render,hide_select,collections,data_name,data_users,vertices,faces,modifiers,bounds_world
FX_TrafficLight_Red,FX_TrafficLight_Red,LIGHT,False,False,False,False,"[""LIGHTS_AND_REFLECTION_HELPERS""]",FX_TrafficLight_Red_Data,1,0,0,[],
FX_TrafficLight_Yellow,FX_TrafficLight_Yellow,LIGHT,False,False,False,False,"[""LIGHTS_AND_REFLECTION_HELPERS""]",FX_TrafficLight_Yellow_Data,1,0,0,[],
Handlebars.001,Handlebars,MESH,True,False,False,False,"[""PROPS""]",Mesh.015,1,4352,4791,[],"{""min"": [-0.344352, 23.715376, 1.512968], ""max"": [0.344468, 23.911913, 1.724033], ""center"": [5.8e-05, 23.813644, 1.6185], ""dimensions"": [0.68882, 0.196537, 0.211064]}"
HERO_CarAmberHoodRead,HERO_CarAmberHoodRead,LIGHT,True,False,False,False,"[""LIGHTS_AND_REFLECTION_HELPERS""]",HERO_CarAmberHoodRead_Data,1,0,0,[],
HERO_CarAmberRoofRead,HERO_CarAmberRoofRead,LIGHT,True,False,False,False,"[""LIGHTS_AND_REFLECTION_HELPERS""]",HERO_CarAmberRoofRead_Data,1,0,0,[],
HERO_CarWarmSideGlint,HERO_CarWarmSideGlint,LIGHT,True,False,False,False,"[""LIGHTS_AND_REFLECTION_HELPERS""]",HERO_CarWarmSideGlint_Data,1,0,0,[],
HERO_Curb_VerticalFace,HERO_Curb_VerticalFace,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.196,1,8,6,"[{""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormals"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-13.453507, 18.87118, -0.123194], ""max"": [13.453507, 19.062601, 0.059548], ""center"": [0.0, 18.96689, -0.031823], ""dimensions"": [26.907015, 0.191422, 0.182741]}"
HERO_CyanUnderglow_Area,HERO_CyanUnderglow_Area,LIGHT,True,False,False,False,"[""LIGHTS_AND_REFLECTION_HELPERS""]",HERO_CyanUnderglow_Area_Data,1,0,0,[],
HERO_DoubleDoor_CenterMeet_1,HERO_DoubleDoor_CenterMeet_1,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.175,1,8,6,"[{""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormals"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-2.731287, 23.747, 0.06], ""max"": [-2.696287, 23.877001, 3.304301], ""center"": [-2.713787, 23.812, 1.682151], ""dimensions"": [0.035, 0.130001, 3.244301]}"
HERO_DoubleDoor_CenterMeet_2,HERO_DoubleDoor_CenterMeet_2,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.183,1,8,6,"[{""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormals"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [2.696287, 23.747, 0.06], ""max"": [2.731287, 23.877001, 3.304301], ""center"": [2.713787, 23.812, 1.682151], ""dimensions"": [0.035, 0.130001, 3.244301]}"
