name,users,fcurve_count,frame_range_start,frame_range_end
Plane.059Action,1,0,28.0,28.0
Plane.060Action,1,0,28.0,28.0
Plane.061Action,1,0,28.0,28.0
Plane.062Action,1,0,28.0,28.0
Plane.063Action,1,0,28.0,28.0
Plane.064Action,1,0,28.0,28.0
Plane.065Action,1,0,28.0,28.0
Plane.066Action,1,0,28.0,28.0
Plane.067Action,1,0,28.0,28.0
Plane.068Action,1,0,28.0,28.0
Plane.069Action,1,0,28.0,28.0
Plane.070Action,1,0,28.0,28.0
Plane.071Action,1,0,28.0,28.0
Plane.072Action,1,0,28.0,28.0
Plane.074Action,1,0,28.0,28.0
Plane.076Action,1,0,28.0,28.0
Plane.077Action,1,0,28.0,28.0
PlaneAction,1,0,28.0,28.0
R.EyeAction,1,0,28.0,28.0
Ribbing.001Action,1,0,28.0,28.0
ShoesAction,1,0,28.0,28.0
Stop signAction,1,0,28.0,28.0
Traffic Cone (Photoscanned)Action,1,0,28.0,28.0
Utility Box (Photoscanned)Action,1,0,28.0,28.0
V2B_OverheadAmber_0Action,1,0,28.0,28.0
V2B_OverheadAmber_1Action,1,0,28.0,28.0
