object,category,modifier,type,show_viewport,show_render,target_object,vertex_group,use_deform_preserve_volume
HERO_Curb_VerticalFace,CHARACTER,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_DoubleDoor_CenterMeet_1,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_DoubleDoor_CenterMeet_1,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_DoubleDoor_CenterMeet_2,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_DoubleDoor_CenterMeet_2,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_DoubleDoor_LeftSide_1,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_DoubleDoor_LeftSide_1,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_DoubleDoor_LeftSide_2,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_DoubleDoor_LeftSide_2,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_DoubleDoor_RightSide_1,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_DoubleDoor_RightSide_1,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_DoubleDoor_RightSide_2,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_DoubleDoor_RightSide_2,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_DoubleDoor_TopFrame_1,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_DoubleDoor_TopFrame_1,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_DoubleDoor_TopFrame_2,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_DoubleDoor_TopFrame_2,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_GlassStorefront_Bay_0,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_GlassStorefront_Bay_0,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_GlassStorefront_Bay_1,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_GlassStorefront_Bay_1,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_GlassStorefront_Bay_2,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_GlassStorefront_Bay_2,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_GlassStorefront_Bay_3,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_GlassStorefront_Bay_3,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_LampFixture_0,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_LampFixture_0,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_LampFixture_1,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_LampFixture_1,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_LampGlass_0,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_LampGlass_0,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_LampGlass_1,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_LampGlass_1,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Rooftop_HVAC_0,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Rooftop_HVAC_0,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Rooftop_HVAC_1,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
