object,category,mesh,data_users,vertices,edges,polygons,boundary_edges,nonmanifold_edges,shape_key_count,active_shape_key,shape_keys,vertex_group_count,armature_modifier_count,parent,materials,hide_viewport,hide_render
HERO_HParking_Row1_Divider_1,ENVIRONMENT_EFFECT,Cube.215,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_HParking_Row1_Divider_2,ENVIRONMENT_EFFECT,Cube.216,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_HParking_Row1_Divider_3,ENVIRONMENT_EFFECT,Cube.217,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_HParking_Row1_Divider_4,ENVIRONMENT_EFFECT,Cube.218,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_HParking_Row1_Divider_5,ENVIRONMENT_EFFECT,Cube.219,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_HParking_Row1_Divider_6,ENVIRONMENT_EFFECT,Cube.220,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_HParking_Row1_Divider_7,ENVIRONMENT_EFFECT,Cube.221,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ParkingLinePaint,False,False
HERO_LampArm_0,CHARACTER,Cylinder.017,1,36,54,20,0,0,0,,,0,0,,HERO_MAT_LampPostDarkMetal,False,False
HERO_LampArm_1,CHARACTER,Cylinder.019,1,36,54,20,0,0,0,,,0,0,,HERO_MAT_LampPostDarkMetal,False,False
HERO_LampFixture_0,ENVIRONMENT_EFFECT,Cube.223,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_LampPostDarkMetal,False,False
HERO_LampFixture_1,ENVIRONMENT_EFFECT,Cube.225,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_LampPostDarkMetal,False,False
HERO_LampGlass_0,ENVIRONMENT_EFFECT,Cube.224,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_LampGlassAmber,False,False
HERO_LampGlass_1,ENVIRONMENT_EFFECT,Cube.226,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_LampGlassAmber,False,False
HERO_LampPole_0,ENVIRONMENT_EFFECT,Cylinder.016,1,56,84,30,0,0,0,,,0,0,,HERO_MAT_LampPostDarkMetal,False,False
HERO_LampPole_1,ENVIRONMENT_EFFECT,Cylinder.018,1,56,84,30,0,0,0,,,0,0,,HERO_MAT_LampPostDarkMetal,False,False
HERO_Rooftop_HVAC_0,ENVIRONMENT_EFFECT,Cube.191,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_RooftopHVAC,False,False
HERO_Rooftop_HVAC_1,ENVIRONMENT_EFFECT,Cube.192,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_RooftopHVAC,False,False
HERO_Rooftop_HVAC_2,ENVIRONMENT_EFFECT,Cube.193,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_RooftopHVAC,False,False
HERO_Rooftop_HVAC_3,ENVIRONMENT_EFFECT,Cube.194,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_RooftopHVAC,False,False
HERO_Rooftop_Vent_0,ENVIRONMENT_EFFECT,Cylinder.008,1,40,60,22,0,0,0,,,0,0,,HERO_MAT_RooftopHVAC,False,False
HERO_Rooftop_Vent_1,ENVIRONMENT_EFFECT,Cylinder.009,1,40,60,22,0,0,0,,,0,0,,HERO_MAT_RooftopHVAC,False,False
HERO_Rooftop_Vent_2,ENVIRONMENT_EFFECT,Cylinder.010,1,40,60,22,0,0,0,,,0,0,,HERO_MAT_RooftopHVAC,False,False
HERO_Rooftop_Vent_3,ENVIRONMENT_EFFECT,Cylinder.011,1,40,60,22,0,0,0,,,0,0,,HERO_MAT_RooftopHVAC,False,False
HERO_Sidewalk_ExpansionJoint_X_1,ENVIRONMENT_EFFECT,Cube.198,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_SidewalkGroove,False,False
HERO_Sidewalk_ExpansionJoint_X_2,ENVIRONMENT_EFFECT,Cube.199,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_SidewalkGroove,False,False
HERO_Sidewalk_ExpansionJoint_X_3,ENVIRONMENT_EFFECT,Cube.200,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_SidewalkGroove,False,False
HERO_Sidewalk_ExpansionJoint_X_4,ENVIRONMENT_EFFECT,Cube.201,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_SidewalkGroove,False,False
HERO_Sidewalk_ExpansionJoint_X_5,ENVIRONMENT_EFFECT,Cube.202,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_SidewalkGroove,False,False
HERO_Sidewalk_ExpansionJoint_X_6,ENVIRONMENT_EFFECT,Cube.203,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_SidewalkGroove,False,False
HERO_Sidewalk_ExpansionJoint_X_7,ENVIRONMENT_EFFECT,Cube.204,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_SidewalkGroove,False,False
HERO_Sidewalk_WideTop,ENVIRONMENT_EFFECT,Cube.195,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_SidewalkConcrete,False,False
HERO_Storefront_CenterMullion_0,ENVIRONMENT_EFFECT,Cube.169,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_Storefront_CenterMullion_3,ENVIRONMENT_EFFECT,Cube.190,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_Storefront_ContinuousBottomFrame,ENVIRONMENT_EFFECT,Cube.059,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
