object,category,mesh,data_users,vertices,edges,polygons,boundary_edges,nonmanifold_edges,shape_key_count,active_shape_key,shape_keys,vertex_group_count,armature_modifier_count,parent,materials,hide_viewport,hide_render
Plane.071,OTHER,Plane.074,1,414,764,352,120,120,0,,,0,0,Audi e-tron GT quattro Black,,False,False
Plane.072,OTHER,Plane.075,1,234,426,194,66,66,0,,,0,0,Audi e-tron GT quattro Black,Material.013,False,False
Plane.074,OTHER,Plane.078,1,62832,130152,67320,1584,1584,0,,,0,0,Audi e-tron GT quattro Black,Tires,False,False
Plane.076,OTHER,Plane.077,1,1409,2726,1319,208,208,0,,,0,0,Audi e-tron GT quattro Black,Material.002,False,False
Plane.077,OTHER,Plane.079,1,14992,29136,14168,1712,1712,0,,,0,0,Audi e-tron GT quattro Black,Brake2 | Bolts,False,False
R.Eye,CHARACTER,Sphere.020,1,482,992,512,0,0,0,,,0,0,,Material.019,False,False
Ribbing.001,OTHER,Mesh.021,1,11332,23150,11940,360,360,0,,,0,0,Large Trash Can,Can.002,False,False
Stop sign,OTHER,Circle,1,253,512,267,24,24,0,,,0,0,,STOP | Metal.001,False,False
Traffic Cone (Photoscanned),OTHER,Traffic Cone (Photoscanned),1,6658,19458,12802,0,0,0,,,0,0,,Traffic Cone (Photoscanned),False,False
Utility Box (Photoscanned),OTHER,Utility Box,1,12028,35726,23700,0,0,0,,,0,0,,UtilityBox,False,False
