name,type,category,data_name,collections,parent,parent_type,hide_viewport,hide_render,visible_get,location,rotation_euler,scale,modifier_count,constraint_count,vertex_group_count,material_slots,action,driver_count,nla_track_count
Empty,EMPTY,ENVIRONMENT_EFFECT,,06_LIGHTING_REFLECTIONS,,OBJECT,False,False,True,"[-117.52604675292969, 250.6327362060547, 4.245935440063477]","[0.0, 0.0, -0.11537054181098938]","[1.0, 1.0, 1.0]",0,0,0,,EmptyAction,0,0
F2,MESH,CHARACTER,Meshy_Left_Standing_Candidate.006,Main Model,,OBJECT,False,False,True,"[2.3136987686157227, -0.2618328332901001, 0.48427021503448486]","[1.570796251296997, -0.0, 0.0]","[3.634430170059204, 3.634430170059204, 3.634430170059204]",0,0,0,Cloth Brown | Material.020,F2Action,0,0
FINAL_ORBIT_RIG,EMPTY,OTHER,,07_CAMERAS,,OBJECT,False,False,True,"[-0.6757546663284302, 0.3175894320011139, -0.061356570571660995]","[0.0, 0.0, 0.11128638684749603]","[1.0, 1.0, 1.0]",0,0,0,,FINAL_ORBIT_RIGAction,0,0
FX_ReflectCard_Green_01,MESH,ENVIRONMENT_EFFECT,FX_ReflectCard_Green_01_Mesh.001,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[5.319022178649902, -0.9369463324546814, 2.465970516204834]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,FX_MAT_CyclesReflect_Green,FX_ReflectCard_Green_01Action,0,0
FX_ReflectCard_Green_02,MESH,ENVIRONMENT_EFFECT,FX_ReflectCard_Green_02_Mesh.001,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[4.091555595397949, -0.9569463133811951, 1.9510010480880737]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,FX_MAT_CyclesReflect_Green,FX_ReflectCard_Green_02Action,0,0
FX_ReflectCard_Red_01,MESH,ENVIRONMENT_EFFECT,FX_ReflectCard_Red_01_Mesh.001,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[-5.728177547454834, -0.9369463324546814, 2.5055835247039795]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,FX_MAT_CyclesReflect_Red,FX_ReflectCard_Red_01Action,0,0
FX_ReflectCard_Red_02,MESH,ENVIRONMENT_EFFECT,FX_ReflectCard_Red_02_Mesh.001,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[-4.500710964202881, -0.9569463133811951, 1.9906140565872192]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,FX_MAT_CyclesReflect_Red,FX_ReflectCard_Red_02Action,0,0
FX_ReflectCard_Yellow_01,MESH,ENVIRONMENT_EFFECT,FX_ReflectCard_Yellow_01_Mesh.001,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[0.0, -0.9369463324546814, 2.4263575077056885]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,FX_MAT_CyclesReflect_Yellow,FX_ReflectCard_Yellow_01Action,0,0
FX_ReflectCard_Yellow_02,MESH,ENVIRONMENT_EFFECT,FX_ReflectCard_Yellow_02_Mesh.001,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[1.2274665832519531, -0.9569463133811951, 1.8717749118804932]","[1.5707963705062866, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,FX_MAT_CyclesReflect_Yellow,FX_ReflectCard_Yellow_02Action,0,0
FX_TrafficLight_Green,LIGHT,ENVIRONMENT_EFFECT,FX_TrafficLight_Green_Data,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[5.728177547454834, -4.716946125030518, 2.4263575077056885]","[1.5484920740127563, 7.786525912933939e-08, 0.9381227493286133]","[1.0, 1.0, 1.0]",0,0,0,,FX_TrafficLight_GreenAction,0,0
FX_TrafficLight_Red,LIGHT,ENVIRONMENT_EFFECT,FX_TrafficLight_Red_Data,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[-5.728177547454834, -4.716946125030518, 2.4263575077056885]","[1.5484920740127563, -7.786525912933939e-08, -0.9381227493286133]","[1.0, 1.0, 1.0]",0,0,0,,FX_TrafficLight_RedAction,0,0
FX_TrafficLight_Yellow,LIGHT,ENVIRONMENT_EFFECT,FX_TrafficLight_Yellow_Data,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[0.0, -4.966946125030518, 2.5055835247039795]","[1.517436146736145, -0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,,FX_TrafficLight_YellowAction,0,0
Handlebars.001,MESH,CHARACTER,Mesh.015,PROPS,Large Trash Can,OBJECT,False,False,True,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,Can.002,Handlebars.001Action,0,0
HERO_CarAmberHoodRead,LIGHT,CLOTHING,HERO_CarAmberHoodRead_Data,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[5.265153884887695, 1.978294849395752, 5.190776824951172]","[-0.018606707453727722, 0.020346131175756454, 3.3069701194763184]","[3.5268781185150146, 3.5269880294799805, 1.0043387413024902]",0,0,0,,HERO_CarAmberHoodReadAction,0,0
HERO_CarAmberRoofRead,LIGHT,ENVIRONMENT_EFFECT,HERO_CarAmberRoofRead_Data,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[-5.1865057945251465, 1.9953433275222778, 5.201615333557129]","[0.04073687642812729, 0.029513869434595108, -0.6313019394874573]","[2.981391191482544, 2.981224298477173, 1.0181806087493896]",0,0,0,,HERO_CarAmberRoofReadAction,0,0
HERO_CarWarmSideGlint,LIGHT,CHARACTER,HERO_CarWarmSideGlint_Data,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[0.00734373927116394, 22.906091690063477, 7.155600547790527]","[-0.008619682863354683, -4.607848680393545e-08, -1.570796251296997]","[2.4712367057800293, 2.4711599349975586, 1.0001896619796753]",0,0,0,,HERO_CarWarmSideGlintAction,0,0
HERO_Curb_VerticalFace,MESH,CHARACTER,Cube.196,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[0.0, 19.022600173950195, -0.015452387742698193]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_SidewalkConcrete,HERO_Curb_VerticalFaceAction,0,0
HERO_CyanUnderglow_Area,LIGHT,ENVIRONMENT_EFFECT,HERO_CyanUnderglow_Area_Data,LIGHTS_AND_REFLECTION_HELPERS,,OBJECT,False,False,True,"[-1.5229530334472656, 5.177516937255859, 0.07527600228786469]","[0.0, -0.0, -1.0902292728424072]","[2.4484784603118896, 1.9351017475128174, 1.0]",0,0,0,,HERO_CyanUnderglow_AreaAction,0,0
HERO_DoubleDoor_CenterMeet_1,MESH,ENVIRONMENT_EFFECT,Cube.175,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-2.7137868404388428, 23.812000274658203, 1.6821506023406982]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_CenterMeet_1Action,0,0
HERO_DoubleDoor_CenterMeet_2,MESH,ENVIRONMENT_EFFECT,Cube.183,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[2.7137868404388428, 23.812000274658203, 1.6821506023406982]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_CenterMeet_2Action,0,0
HERO_DoubleDoor_LeftSide_1,MESH,ENVIRONMENT_EFFECT,Cube.174,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-4.13330602645874, 23.815000534057617, 1.6821506023406982]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_LeftSide_1Action,0,0
HERO_DoubleDoor_LeftSide_2,MESH,ENVIRONMENT_EFFECT,Cube.182,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[1.2942675352096558, 23.815000534057617, 1.6821506023406982]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_LeftSide_2Action,0,0
HERO_DoubleDoor_RightSide_1,MESH,ENVIRONMENT_EFFECT,Cube.176,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-1.2942675352096558, 23.815000534057617, 1.6821506023406982]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_RightSide_1Action,0,0
HERO_DoubleDoor_RightSide_2,MESH,ENVIRONMENT_EFFECT,Cube.184,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[4.13330602645874, 23.815000534057617, 1.6821506023406982]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_RightSide_2Action,0,0
HERO_DoubleDoor_TopFrame_1,MESH,ENVIRONMENT_EFFECT,Cube.177,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-2.7137868404388428, 23.812000274658203, 3.3043012619018555]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_TopFrame_1Action,0,0
HERO_DoubleDoor_TopFrame_2,MESH,ENVIRONMENT_EFFECT,Cube.185,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[2.7137868404388428, 23.812000274658203, 3.3043012619018555]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_ConjoinedBlackMetalFrames,HERO_DoubleDoor_TopFrame_2Action,0,0
HERO_GlassStorefront_Bay_0,MESH,ENVIRONMENT_EFFECT,Cube.112,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-8.14136028289795, 23.8700008392334, 1.9958266019821167]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_Glass_NightGlossy,HERO_GlassStorefront_Bay_0Action,0,0
HERO_GlassStorefront_Bay_1,MESH,ENVIRONMENT_EFFECT,Cube.170,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-2.7137868404388428, 23.8700008392334, 1.9958266019821167]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_Glass_NightGlossy,HERO_GlassStorefront_Bay_1Action,0,0
HERO_GlassStorefront_Bay_2,MESH,ENVIRONMENT_EFFECT,Cube.178,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[2.7137868404388428, 23.8700008392334, 1.9958266019821167]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_Glass_NightGlossy,HERO_GlassStorefront_Bay_2Action,0,0
HERO_GlassStorefront_Bay_3,MESH,ENVIRONMENT_EFFECT,Cube.186,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[8.14136028289795, 23.8700008392334, 1.9958266019821167]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",2,0,0,HERO_MAT_Glass_NightGlossy,HERO_GlassStorefront_Bay_3Action,0,0
HERO_HParking_CenterSpine,MESH,ENVIRONMENT_EFFECT,Cube.222,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[0.0, 2.6500000953674316, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_CenterSpineAction,0,0
HERO_HParking_Row0_Divider_0,MESH,ENVIRONMENT_EFFECT,Cube.206,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-9.254709243774414, 1.149999976158142, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row0_Divider_0Action,0,0
HERO_HParking_Row0_Divider_1,MESH,ENVIRONMENT_EFFECT,Cube.207,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-6.610506534576416, 1.149999976158142, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row0_Divider_1Action,0,0
HERO_HParking_Row0_Divider_2,MESH,ENVIRONMENT_EFFECT,Cube.208,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-3.966303825378418, 1.149999976158142, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row0_Divider_2Action,0,0
HERO_HParking_Row0_Divider_3,MESH,ENVIRONMENT_EFFECT,Cube.209,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-1.3221012353897095, 1.149999976158142, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row0_Divider_3Action,0,0
HERO_HParking_Row0_Divider_4,MESH,ENVIRONMENT_EFFECT,Cube.210,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[1.3221012353897095, 1.149999976158142, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row0_Divider_4Action,0,0
HERO_HParking_Row0_Divider_5,MESH,ENVIRONMENT_EFFECT,Cube.211,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[3.966303825378418, 1.149999976158142, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row0_Divider_5Action,0,0
HERO_HParking_Row0_Divider_6,MESH,ENVIRONMENT_EFFECT,Cube.212,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[6.610506534576416, 1.149999976158142, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row0_Divider_6Action,0,0
HERO_HParking_Row0_Divider_7,MESH,ENVIRONMENT_EFFECT,Cube.213,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[9.254709243774414, 1.149999976158142, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row0_Divider_7Action,0,0
HERO_HParking_Row1_Divider_0,MESH,ENVIRONMENT_EFFECT,Cube.214,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-9.254709243774414, 4.150000095367432, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row1_Divider_0Action,0,0
HERO_HParking_Row1_Divider_1,MESH,ENVIRONMENT_EFFECT,Cube.215,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-6.610506534576416, 4.150000095367432, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row1_Divider_1Action,0,0
HERO_HParking_Row1_Divider_2,MESH,ENVIRONMENT_EFFECT,Cube.216,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-3.966303825378418, 4.150000095367432, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row1_Divider_2Action,0,0
HERO_HParking_Row1_Divider_3,MESH,ENVIRONMENT_EFFECT,Cube.217,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[-1.3221012353897095, 4.150000095367432, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row1_Divider_3Action,0,0
HERO_HParking_Row1_Divider_4,MESH,ENVIRONMENT_EFFECT,Cube.218,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[1.3221012353897095, 4.150000095367432, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row1_Divider_4Action,0,0
HERO_HParking_Row1_Divider_5,MESH,ENVIRONMENT_EFFECT,Cube.219,ENVIRONMENT_AND_PARKING,,OBJECT,False,False,True,"[3.966303825378418, 4.150000095367432, 0.18725429475307465]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0,0,0,HERO_MAT_ParkingLinePaint,HERO_HParking_Row1_Divider_5Action,0,0
